"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","55","3.417","45.5","21.8","18.2","9.1",".",".","3.6",".",".",".",".",".",".","1.8",".","."
"","100
002","53","3.431","47.2","20.8","17.0","5.7","1.9",".","3.8",".",".",".",".",".","1.9","1.9",".","."
"General Anthropology","Course Total","108","3.424","46.3","21.3","17.6","7.4","0.9",".","3.7",".",".",".",".",".","0.9","1.9",".","."
"Archaeology & Prehist World","102
001","170","3.864","82.4","10.6","4.1","1.2","1.2",".",".",".",".",".",".",".",".","0.6",".","."
"","104
001","359","3.814","78.6","11.1","3.9","2.5","1.1","0.6","0.3",".",".",".",".",".",".",".",".","1.9"
"","104
002","442","3.742","72.9","15.8","4.1","1.4","2.3","0.5","1.4",".",".",".",".",".","0.2",".",".","1.6"
"","104
004","22","3.364","45.5","36.4","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","104
005","18","3.444","50.0","33.3","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","104
009","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
012","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
035","14","3.607","71.4","7.1",".","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","104
039","22","3.659","68.2","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","916","3.759","74.5","14.7","3.9","1.9","1.7","0.4","1.2",".",".",".",".",".","0.1",".",".","1.5"
"","001
105","256","3.571","43.4","36.7","11.3","5.5","0.8","0.4","0.4",".",".",".",".",".","1.2",".",".","0.4"
"","105
002","218","3.579","45.0","39.0","8.7","3.2","1.8","0.5","0.9","0.5",".",".",".",".","0.5",".",".","."
"","105
006","18","3.500","27.8","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105
011","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","512","3.576","43.8","38.3","10.2","4.5","1.2","0.4","0.6","0.2",".",".",".",".","0.8",".",".","0.2"
"Fr/Soph Seminar in Anthro","120
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Archaeology","212
001","64","3.548","57.8","7.8","21.9","6.3","4.7",".",".",".",".",".",".",".",".",".",".","1.6"
"Dimensions-Material Culture","264
001","7","3.143","28.6","28.6","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","25","3.540","36.0","40.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","001
303","11","2.182",".",".","27.3",".","63.6","9.1",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310
001","50","3.915","82.0","8.0","4.0",".",".",".",".","4.0",".",".",".",".","2.0",".",".","."
"Lithics and Archaeology","337
001","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Intro-Anthropology of Japan","357
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Museum Studies-Anthro","405
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","20","3.528","60.0","15.0","5.0",".","5.0",".","5.0",".",".",".",".",".","10.0",".",".","."
"Symbolic Anthropology","456
001","12","4.000","66.7",".",".",".",".",".",".","8.3",".",".",".",".","25.0",".",".","."
"","458
001","47","3.351","46.8","10.6","21.3","12.8","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"","458
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primate Behavioral Ecology","Course Total","49","3.378","49.0","10.2","20.4","12.2","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","001
474","12","3.350","25.0","16.7","33.3","8.3",".",".",".",".",".",".",".",".","16.7",".",".","."
"Undergraduate Seminar","490
001","14","3.786","71.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Evolutionary Theory","603
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 179 of 464",""
