"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","170","3.763","68.2","21.8","6.5","1.8","0.6",".","0.6","0.6",".",".",".",".",".",".",".","."
"","105
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","172","3.763","67.4","21.5","6.4","1.7","0.6",".","0.6","0.6",".",".",".",".",".",".","1.2","."
"Independent Reading","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","78","3.686","46.2","44.9","9.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","78","3.654","46.2","42.3","9.0","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","156","3.670","46.2","43.6","9.0","0.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"","314
001","78","3.936","89.7","9.0",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","78","3.833","74.4","20.5","3.8",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"","314
003","31","3.565","19.4","77.4",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","314
004","31","3.565","19.4","74.2","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","218","3.794","64.2","32.1","2.3","0.9","0.5",".",".",".",".",".",".",".",".",".",".","."
"","315
001","77","3.825","68.8","28.6","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","79","3.753","64.6","22.8","11.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in a Nrsg Practice","Course Total","156","3.788","66.7","25.6","6.4","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","316
001","158","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","317
001","77","3.448","35.1","33.8","18.2","11.7","1.3",".",".",".",".",".",".",".",".",".",".","."
"","317
002","78","3.404","37.2","26.9","25.6","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Pharmacology for Nrsg Practice","Course Total","155","3.426","36.1","30.3","21.9","8.4","1.9","1.3",".",".",".",".",".",".",".",".",".","."
"","003
323","31","3.258","9.7","45.2","32.3","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"","004
323","31","3.258","3.2","48.4","45.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","Course Total","62","3.258","6.5","46.8","38.7","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","30","3.500","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","31","3.581","19.4","77.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","Course Total","61","3.541","14.8","78.7","6.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
003","62","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
003","61","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","434
001","78","3.500","14.1","73.1","11.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","434
002","80","3.606","32.5","57.5","8.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","434
003","30","3.517","20.0","63.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
434","31","3.500","12.9","74.2","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty","Course Total","219","3.543","21.5","66.2","11.4","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
435","80","3.963","93.8","5.0","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435
002","77","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Practice","Course Total","157","3.981","96.8","2.5","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","74","",".",".",".",".",".",".",".",".",".","91.9",".",".",".",".","8.1","."
"","436
002","75","",".",".",".",".",".",".",".",".",".","93.3",".",".",".",".","6.7","."
"","436
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","157","",".",".",".",".",".",".",".",".",".","91.1",".",".",".",".","8.9","."
"","437
001","78","3.936","91.0","6.4","1.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
