"TERM : 1222","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MEDICAL SCIENCES - MED SCH","Section
#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","969
Dept. Total","","",".","",".","",".","",".","",".","",".","",".","93.4","0.5","3.4","",".","",".","0.3",".",".","2.4"
"Summary by Level","","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","1","***","","","","","","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
