"NEUROLOGICAL SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","",""
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurg-Directed Study","Course Total","","39","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurg Indiv Clin Elective","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpatient Neuro ICU Elective","Course Total","","5","***","","","","","","","","","","","","","","","",""
