"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1735","3.644","54.7","16.2","11.8","7.2","3.2","0.2","0.5","",".","",".","5.6","",".",".","0.1",".","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","43","2.802","23.3","14.0","14.0","25.6","14.0","4.7","4.7","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","22","3.548","36.4","40.9","9.1","9.1",".",".",".","",".","",".",".","",".",".","4.5",".",".","."
"Junior","","11","3.091","27.3","18.2","18.2","18.2","18.2",".",".","",".","",".",".","",".",".",".",".",".","."
"Senior","","8","3.611","62.5","12.5","12.5",".","12.5",".",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","84","3.113","31.0","21.4","13.1","17.9","10.7","2.4","2.4","",".","",".",".","",".",".","1.2",".",".","."
"Graduate","","15","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","312","3.622","59.6","15.1","16.0","6.1","2.9",".","0.3","",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","529","3.381","36.5","20.6","11.2","8.3","4.3","0.2","0.4","",".","",".","18.5","",".",".",".",".",".","."
"Prof Yr 3","","652","3.425","44.0","14.6","12.0","7.1","2.0","0.2","0.6","",".","",".",".","",".","18.7",".",".",".","0.9"
"Prof Yr 4","","265","3.939","91.3","4.5","2.3","0.4","0.4",".",".","",".","",".",".","",".",".","0.4",".","0.8","."
"Professionals","","1758","3.668","51.6","15.0","11.0","6.3","2.6","0.1","0.4","",".","",".","5.6","",".","6.9","0.1",".","0.1","0.3"
"","Dept. Total","1857","3.644","51.1","15.1","11.0","6.7","3.0","0.2","0.5","",".","",".","5.3","",".","6.6","0.1",".","0.1","0.3"
