"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","3.989","94.3",".","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"710
Reproductive Endocrine Physiol","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-OB/GYN","Course Total","","5","***","","","","","","","","","","","","","","","",""
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"934","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Obstetric Hospitalist","Course Total","","2","***","","","","","","","","","","","","","","","",""
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Clinical Setting","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"938","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship","Course Total","","4","***","","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Responsible Conduct","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 381 of 464",""
