"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300
001","","214","3.143","35.0","8.9","30.8","9.3","11.2","4.7",".",".",".",".",".",".",".",".",".","."
"","365
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","","12","3.208","33.3","25.0","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","","49","3.122","18.4","14.3","49.0","10.2","8.2",".",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","001
645","","59","3.297","33.9","16.9","33.9","5.1","10.2",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650
001","","45","3.600","35.6","48.9","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","44","3.341","34.1","22.7","25.0","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","34","3.250","23.5","29.4","26.5","14.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","Course Total","","78","3.301","29.5","25.6","25.6","14.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"","700
001","","18","3.500","38.9","22.2","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Risk Mgmt","Course Total","","19","3.526","42.1","21.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
