"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","34","3.603","50.0","20.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss Pro Pract for Phy Assts","416
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patnt Eval/Prim Care II","421
001","27","3.463","14.8","74.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Medicine for Phy Asst","440
001","34","3.603","44.1","35.3","17.6","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","27","3.296","3.7","59.3","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Phy Assts","516
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","629
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","639
002","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","31","3.871","74.2","25.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","649
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","249","3.728","60.2","27.7","9.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
