"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"375
Concepts&Methods-Pop Hlth Sci","001","","31","3.855","90.3","3.2",".",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"471
Intro-Environmental Health","001","","48","3.628","64.6","10.4","10.4","8.3","4.2",".",".","2.1",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","13","2.962","23.1",".","46.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"650","029","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","030","","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"650","031","","46","3.783","58.7","39.1","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","032","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","033","","27","3.500","25.9","55.6","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"650","034","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","037","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","127","3.756","61.4","33.1","3.1","1.6",".",".",".",".",".",".",".",".","0.8",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","3.842","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"701","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701","002","","19","",".",".",".",".",".",".",".","63.2",".",".",".","36.8",".",".",".","."
"Master's Research Seminar","Course Total","","30","4.000","36.7",".",".",".",".",".",".","40.0",".",".",".","23.3",".",".",".","."
"717
Prin-Population Med&Epidemiol","001","","161","3.733","70.8","8.1","18.6","1.9","0.6",".",".",".",".",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","24","3.458","33.3","45.8","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Monitoring Population Health","001","","11","3.833","54.5","27.3",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"876
Measuring Health Outcomes","001","","11","3.778","45.5","36.4",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"912
CompUtiliz-ClinLab-StateLab","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","32","3.922","90.6","3.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 368 of 401",""
