"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","96","3.816","74.0","15.6","8.3",".","1.0",".",".",".",".",".",".",".",".",".",".","1.0"
"","002
300","79","3.447","27.8","45.6","15.2","5.1","1.3",".","1.3","2.5",".",".",".",".",".",".",".","1.3"
"Individls with Disabilities","Course Total","175","3.652","53.1","29.1","11.4","2.3","1.1",".","0.6","1.1",".",".",".",".",".",".",".","1.1"
"Behav Anal:Person-Disabilty","330
001","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families-Individs w/ Disabils","450
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","471
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","472
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","472
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","472
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
003","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Readng: Learn&Behav Disab","479
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","15","3.800","73.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
018","9","3.969","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
019","29","3.949","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","38","3.953","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
014","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
015","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","38","3.961","94.7","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
