"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544","001","","75","3.127","10.7","26.7","49.3","6.7","5.3","1.3",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology I","545","001","","75","3.413","34.7","22.7","37.3","1.3","4.0",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546","001","","80","3.581","55.0","12.5","28.8","1.3","2.5",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","82","2.488","4.9","11.0","23.2","13.4","40.2","7.3",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","81","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638","001","","80","3.119","12.5","27.5","38.8","16.3","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"","642","001","","38","4.000","13.2",".",".",".",".",".",".","86.8",".",".",".",".",".",".",".","."
"","642","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","41","4.000","12.2",".",".",".",".",".",".","87.8",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","21","4.000","38.1",".",".",".",".",".",".","61.9",".",".",".",".",".",".",".","."
"","645","001","","41","4.000","41.5",".",".",".",".",".",".","58.5",".",".",".",".",".",".",".","."
"","645","002","","10","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","51","4.000","39.2",".",".",".",".",".",".","60.8",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","31","4.000","45.2",".",".",".",".",".",".","54.8",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675","002","","16","4.000","18.8",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","."
"","675","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675","004","","40","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"","675","005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","010","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","115","4.000","13.9",".",".",".",".",".",".","86.1",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","80","3.169","21.3","20.0","36.3","18.8","2.5","1.3",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","48","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","33","4.000","69.7",".",".",".",".",".",".","30.3",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","21","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","26","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Small Animal Radiol Elective","752","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 396 of 401",""
