"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","273","3.035","28.9","19.4","20.1","11.7","12.5","2.9","3.7","0.4",".",".",".",".",".",".",".","0.4"
"201
Speech Science","001","","53","3.462","52.8","18.9","15.1","3.8","1.9","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"210
Speech & Lang Functs-Brain","001","","61","3.303","27.9","29.5","29.5","8.2","3.3",".","1.6",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","86","3.107","29.1","17.4","25.6","5.8","15.1","4.7",".","2.3",".",".",".",".",".",".",".","."
"318
Speech Pathology II","001","","61","3.267","9.8","45.9","29.5","13.1",".",".",".","1.6",".",".",".",".",".",".",".","."
"320
Introduction to Audiology","001","","37","3.514","40.5","29.7","16.2","10.8",".",".",".","2.7",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Auditory Rehabilitation","001","","61","3.658","47.5","39.3","6.6","4.9",".",".",".","1.6",".",".",".",".",".",".",".","."
"434
Manual Coded English-SL II","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","70","3.435","32.9","28.6","31.4","2.9","2.9",".",".","1.4",".",".",".",".",".",".",".","."
"692
School Practicum in Com Dis","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","34","3.977","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Dysphasia in Adults","001","","25","3.840","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Mgt&Assessmt-Voice Disorder","001","","27","3.907","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Aug Com Sys-Severly Handcp","001","","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","10","3.696","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","37","3.840","86.5","5.4","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Prof Iss: Diversity&Multicultr","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
Deviant Phonologal Acquistn","001","","20","3.750","65.0","30.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"836
Pediat Habilitatn/Rehabilitatn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 187 of 401",""
