"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","28","3.232","28.6","10.7","50.0",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"414
Pharmacy in Health Care System","001","","128","3.000","14.1","25.0","27.3","18.8","10.9","3.1",".",".",".",".",".",".",".",".","0.8","."
"490
Select Topics-Soc&Adm Phcy","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","127","3.962","93.7","4.7","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","131","3.798","63.4","32.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","9","3.938","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","3.921","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Soc Behav Theories in Pharm","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Conference-Research Workers","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","477","3.545","57.2","18.7","11.7","5.0","3.6","0.8",".","2.7",".",".",".",".",".",".","0.2","."
