"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","46","3.500","26.1","50.0","21.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","002","","40","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","50","3.090","22.0","26.0","22.0","12.0","16.0","2.0",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"389","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"399","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.879","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","31","3.532","38.7","32.3","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","53","2.942","9.4","22.6","37.7","7.5","18.9","1.9",".","1.9",".",".",".",".",".",".",".","."
"489
Honors in Research","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"505
Biofluidics","001","","20","3.395","25.0","40.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".","5.0","."
"515
Therapeutic Medical Devices","001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"574
Med Imag Sci:Stochastic Aspect","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","29","3.513","27.6","51.7","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","41","3.589","48.8","36.6","14.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"603","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"603","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Bio-Medical Engr","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"763
Computers in Medicine","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 103 of 401",""
