"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"426
Intro-Pharm Care Clrkshp II","001","","127","3.952","94.5",".","3.1",".","0.8",".",".",".",".",".",".",".","0.8",".","0.8","."
"441
Therpeutcs-PAs&Adv Prac Nur,II","001","","31","3.016","16.1","16.1","32.3","25.8","9.7",".",".",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","003","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","32","3.889","71.9","25.0","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Intro-Phmceut Care Clrk IV","056","","127","3.976","98.4",".","0.8",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","127","3.205","11.0","34.6","40.9","11.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","128","3.473","24.2","51.6","18.8","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"608
Safety & Quality-Med Use Sys","001","","129","3.798","67.4","24.8","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","133","3.917","92.5",".","6.8",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","33","3.424","42.4","15.2","27.3","15.2",".",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","132","2.966","11.4","17.4","37.1","21.2","12.9",".",".",".",".",".",".",".",".",".",".","."
"664","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","001","","37","3.803","70.3","16.2","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","29","3.938","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"672","003","","9","3.938","66.7","11.1",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","42","3.942","83.3","7.1","2.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"675
Women's Health Pharmacother","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","42","3.679","47.6","40.5","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","44","3.682","47.7","40.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Hematol&Oncol Pharmacother","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"740","005","","23","3.500","43.5","26.1","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"740","006","","17","3.676","64.7","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","40","3.575","52.5","20.0","17.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"741","005","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
