"MED","","","","","","","","","","","","","","","","","","","",""
"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"712
Hlth Care-Diverse Communities","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"910
Rsch in Fam Med-Wingra FMC","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Clerk/Fam Med-St Lukes","Course Total","","2","***","","","","","","","","","","","","","","","",""
"931","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cl Mgmt-Addictv Disordr-Mad","Course Total","","2","***","","","","","","","","","","","","","","","",""
