"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","48","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503
001","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills II: Communctn-OT","611
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infant&Chld Occs&Ther Intrvntn","622
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk:Infants&Children","625
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inquiry in OT II: Methods","634
001","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","10","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","775
002","7","3.800","42.9","28.6",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"","775
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","21","3.750","47.6","19.0","9.5",".",".",".",".","14.3",".",".",".",".","4.8","4.8",".","."
"Research and Thesis","791
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","799
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","156","3.771","63.5","27.6","4.5","0.6",".",".",".","2.6",".",".",".",".","0.6","0.6",".","."
