"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"717","050","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs III","Course Total","","10","3.956","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","077","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","20","4.000","15.0",".",".",".",".",".",".","85.0",".",".",".",".",".",".",".","."
"721
Adv Med-Surgical Nursing","001","","17","3.588","82.4",".","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","6","3.875","50.0","16.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"747","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"747","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"754
Adv Prac Nursng:Mentl Disordrs","001","","18","3.967","77.8","5.6",".",".",".",".",".","5.6",".",".",".",".","5.6","5.6",".","."
"761
Health Prgm Planning, Eval, QI","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Instr Process-Nursing Educ","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"798","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","15","4.000","20.0",".",".",".",".",".",".","73.3",".",".",".",".","6.7",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","091","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","9.1",".",".",".",".",".",".","81.8",".",".",".",".","9.1",".",".","."
