"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","102","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.969","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","27","3.333","18.5","29.6","51.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","21","3.476","33.3","28.6","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","20","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","70","3.444","30.0","28.6","41.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","10","3.462","10.0","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 376 of 401",""
