"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"410
Radiobiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","3","***","","","","","","","","","","","","","","","",""
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990
Rsch in Human Cancer Bio","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","21","3.900","81.0",".","9.5",".",".",".",".","9.5",".",".",".",".",".",".",".","."
