"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"954
Periph Vasculr Clrk-CSC/VAH","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastc&RecnstrSurgClerk-CSC","Course Total","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Plastic Surgery-Marshfield","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Burn Surgery Clrkshp (CSC)","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiac Surg Clerkship-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"967","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Clerkship-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
