"CLINICAL LABORATORY SCIENC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","24","3.333","29.2","25.0","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","22","3.659","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","23","3.435","30.4","30.4","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","23","3.435","34.8","26.1","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","25","3.360","32.0","8.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","23","3.543","30.4","47.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","20","3.175","15.0","20.0","55.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Genitourinary System","545
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Gastrointestinal System","546
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Effusions","547
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Central Nervous System","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Miscellaneous Systems","549
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","570
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","22","3.920","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","610
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues Seminar","640
001","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","235","3.544","50.6","20.9","25.1","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","35","3.226","17.1","28.6","42.9","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"Senior","","194","3.607","57.7","18.6","22.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","235","3.544","50.6","20.9","25.1","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","235","3.544","50.6","20.9","25.1","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
