"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","182","3.918","91.2","5.5","1.6","1.1",".",".","0.5",".",".",".",".",".",".",".",".","."
"Independent Reading","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","108","3.736","56.5","34.3","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
302","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","145","3.786","64.8","27.6","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","63","3.722","57.1","30.2","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","75","3.687","53.3","30.7","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","129","3.329","14.7","47.3","27.9","9.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"","312
002","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","152","3.391","21.7","44.1","25.7","7.9","0.7",".",".",".",".",".",".",".",".",".",".","."
"","319
001","128","3.910","83.6","14.8","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","24","3.854","83.3","12.5",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","152","3.901","83.6","14.5","1.3",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","332
001","130","3.631","42.3","43.8","11.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","23","3.565","30.4","52.2","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","153","3.621","40.5","45.1","12.4","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","128","3.555","34.4","46.1","15.6","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","12","3.292","8.3","41.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","140","3.532","32.1","45.7","18.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","129","3.895","82.9","13.2","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","140","3.904","84.3","12.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","55","3.900","81.8","16.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","68","3.949","92.6","4.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","79","3.949","92.4","5.1","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","472
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
003","8","3.500","37.5",".","37.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","590
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
021","23","3.370","30.4","26.1","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","60","3.622","48.3","10.0","18.3","1.7","1.7",".",".","20.0",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
021","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","613
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
030","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","613
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 381 of 401",""
