"MED","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","291","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","292","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","293","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","296","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.968","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Indiv 4th Yr Clin Clerkship","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"OPHTHALM
702","Dept. Total","","12","3.970","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
