"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","041","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","11","3.500","18.2","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"812","044","","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","70","3.661","48.6","34.3","14.3","1.4",".",".",".",".",".",".",".",".",".",".",".","1.4"
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922
PsychCons&OutptClerk-CSC/VA","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923
SpecAdultPsychClerk-Mendota","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Child Psych Clerk-Mendota","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
