"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","168","2.899","17.9","15.5","29.2","10.7","24.4","1.2","1.2",".",".",".",".",".",".",".",".","."
"","100","002","142","2.777","12.7","18.3","25.4","7.7","32.4","0.7","2.1","0.7",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","310","2.843","15.5","16.8","27.4","9.4","28.1","1.0","1.6","0.3",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","123","2.719","11.4","14.6","18.7","17.9","34.1","1.6",".","1.6",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","547","3.397","37.5","23.4","26.3","5.1","4.6","0.7","0.5","1.8",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","170","3.174","20.0","36.5","20.6","10.0","10.0","2.9",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","102","3.158","17.6","25.5","34.3","17.6","2.9",".","1.0","1.0",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","18","3.250","22.2","22.2","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","22","3.477","31.8","45.5","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","71","3.536","50.7","21.1","11.3","14.1","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","23","2.587","17.4","8.7","34.8","4.3","13.0","17.4","4.3",".",".",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304","001","39","3.081","25.6","23.1","17.9","12.8","10.3","2.6","2.6","5.1",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","12","3.458","75.0","8.3",".",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311","001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","58","3.018","25.9","20.7","19.0","6.9","19.0","3.4","1.7","1.7",".",".",".",".",".",".",".","1.7"
"Prehistory of Africa","333","001","12","3.125","41.7","16.7","16.7","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Intro-Prehistory&Archaeol Prin","338","001","15","2.964","20.0","26.7","13.3","20.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".","."
"Indians-Western Great Lakes","353","001","41","3.054","14.6","19.5","26.8","19.5","9.8",".",".","7.3",".",".",".",".",".",".","2.4","."
"Elementary Quechua","362","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","20","3.026","25.0","15.0","30.0","10.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Data Analysis-Archaeology","394","001","12","3.583","58.3","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","31","2.758","25.8","16.1","12.9","19.4","9.7","9.7","6.5",".",".",".",".",".",".",".",".","."
"Evolution of Genus, Homo","411","001","19","3.806","57.9","36.8",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"American Indian Folklore","431","001","8","3.643","50.0","25.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","17","3.563","35.3","35.3","23.5",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Anthropology of Law","448","001","21","3.475","33.3","33.3","19.0","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"Stdy Abroad:Topics-Archaeol","453","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abroad:Tpc-Cult Anthro","455","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecological Anthropology","470","001","25","3.000","20.0","16.0","44.0","8.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","490","001","18","3.444","33.3","27.8","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","32","3.609","50.0","25.0","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of Drugs","528","001","22","3.810","72.7","9.1","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Folklore-Festivls&Celebratn","539","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnicity, Nations&Nationalism","606","001","16","3.676","81.3","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666","001","18","3.912","77.8","16.7",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Ind Lands & Sovereignties","676","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 161 of 401",""
