"COLLABORATIVE NURSING PRG Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","003","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341","003","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","444","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","022","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","","12","3.542","50.0","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"CNP
691","","Dept. Total","","46","3.727","58.7","23.9","15.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
