"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"404
Pathophys Princ-Hum Disease","001","","333","3.198","21.9","28.8","26.4","15.3","4.5","1.8","0.3","0.6",".",".",".",".","0.3",".",".","."
"651
Quality Assurance Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Quality Assurance Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Method Validation Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Method Validation Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Pathology of Organ Systems","001","","150","",".",".",".",".",".",".",".","94.7",".",".",".","0.7","4.7",".",".","."
"709
Topics-Cell Struct & Functn","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","75","3.367","25.3","28.0","41.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"901
Journal Club","001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"911
Intro-Forensic Pathol-MSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
