"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Infection and Immunity II","702
001","149","3.493","38.3","36.9","12.8","9.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Gastrointestinal/Hepatic Sys","707
001","151","3.825","71.5","22.5","5.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Renal","709
041","145","3.197","26.2","4.1","58.6","7.6","2.8",".","0.7",".",".",".",".",".",".",".",".","."
"Male/Female Endocrine Sys","711
001","150","3.700","64.0","15.3","18.0","2.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"Psychiatry:Intro Psychpatholgy","716
001","165","3.436","29.7","41.8","17.6","7.9","3.0",".",".",".",".",".",".",".",".",".",".","."
"Psych:Interprsnl&Biopsychosocl","726
001","143","3.734","65.0","18.2","15.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology II","727
001","148","3.720","64.9","14.2","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience","731
001","167","3.825","72.5","16.2","9.0",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Complementry Med-Clin Pract","733
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Nutr-Hum Hlth&Disease","734
001","148","3.804","69.6","22.3","7.4","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Patient, Doctor & Society II","801
001","163","3.834","72.4","23.3","3.7",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 4","807
001","148","3.916","85.1","12.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1713","3.716","58.7","20.5","14.9","2.6","0.9",".","0.1",".",".","2.1",".",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Senior","","4","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Undergraduates","","5","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","","5","3.654","20.0","20.0","20.0",".",".",".",".",".",".","40.0",".",".",".",".",".","."
"Prof Yr 1","","513","3.789","55.8","26.1","9.6","2.5","1.2",".",".",".",".","4.7",".",".","0.2",".",".","."
"Prof Yr 2","","1176","3.677","60.8","18.2","17.1","2.6","0.7",".","0.1",".",".","0.3",".",".","0.3",".",".","."
"Prof Yr 3","","6","2.542",".",".","33.3","16.7","16.7",".",".",".",".","33.3",".",".",".",".",".","."
"Prof Yr 4","","8","3.474","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1703","3.716","59.0","20.6","15.0","2.6","0.9",".","0.1",".",".","1.7",".",".","0.2",".",".","."
"","Dept. Total","1713","3.716","58.7","20.5","14.9","2.6","0.9",".","0.1",".",".","2.1",".",".","0.2",".",".","."
