"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"Human Cytogenetics","562
001","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","677
006","46","3.967","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
007","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
008","38","3.986","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
009","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
011","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
014","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
015","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
047","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
048","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","372","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","33","3.948","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","34","3.949","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","714
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Genetics","721
001","166","3.645","59.0","16.9","18.1","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Embryology","742
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar in Genetics","993
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","619","3.906","84.8","6.9","5.5","1.8",".",".",".","1.0",".",".",".",".",".",".",".","."
