"Clin Elect Rheumtol-CSC/VAH","988
002","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
041","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
203","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","266","3.507","37.6","22.6","19.2","0.4","",".","",".","",".","17.7","0.8",".","",".","",".","",".",".","1.1","0.8"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","12","4.000","91.7",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".","8.3","."
"Senior","","7","3.526","42.9","28.6","28.6",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","22","3.816","77.3","9.1","9.1",".","",".","",".","",".",".",".",".","",".","",".","",".",".","4.5","."
"Special","","1","",".",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".","100.0","."
"Prof Yr 2","","11","",".",".",".",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","99","3.350","26.3","25.3","41.4","1.0","",".","",".","",".","1.0","2.0",".","",".","",".","",".",".","1.0","2.0"
"Prof Yr 4","","133","3.752","42.9","24.8","6.0",".","",".","",".","",".","26.3",".",".","",".","",".","",".",".",".","."
"Professionals","","243","3.492","34.2","23.9","20.2","0.4","",".","",".","",".","19.3","0.8",".","",".","",".","",".",".","0.4","0.8"
"","Dept. Total","266","3.507","37.6","22.6","19.2","0.4","",".","",".","",".","17.7","0.8",".","",".","",".","",".",".","1.1","0.8"
