"","922
013","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","922
041","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","13","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Rsch in Human Cancer Bio","990
022","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"H ONCOL
480","Dept. Total","","21","3.900","81.0","",".","9.5","",".","",".","",".","",".","9.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","4.000","66.7","",".",".","",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","5","4.000","80.0","",".",".","",".","",".","",".","",".","20.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","3.000",".","",".","100.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","7","4.000","85.7","",".",".","",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","7","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","14","4.000","92.9","",".",".","",".","",".","",".","",".","7.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","21","3.900","81.0","",".","9.5","",".","",".","",".","",".","9.5","",".",".","",".","",".","",".",".",".","."
