"Clin Clerk/Fam Med-St Lukes","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","931
007","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","931
042","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Cl Mgmt-Addictv Disordr-Mad","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAM MED
370","Dept. Total","","20","3.875","20.0","10.0","",".","",".","",".","",".","",".","",".","",".","70.0","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","50.0",".","",".","",".","",".","",".","",".","",".","",".","50.0","",".","",".","",".",".",".","."
"Senior","","","1","",".",".","",".","",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Undergraduates","","","3","4.000","33.3",".","",".","",".","",".","",".","",".","",".","",".","66.7","",".","",".","",".",".",".","."
"Prof Yr 1","","","12","",".",".","",".","",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 4","","","5","3.846","60.0","40.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","17","3.846","17.6","11.8","",".","",".","",".","",".","",".","",".","",".","70.6","",".","",".","",".",".",".","."
"","Dept. Total","","20","3.875","20.0","10.0","",".","",".","",".","",".","",".","",".","",".","70.0","",".","",".","",".",".",".","."
