"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
001","20","2.775","25.0","20.0","15.0","15.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","362
002","263","3.056","24.7","20.2","25.9","10.3","8.0","4.2","2.7","4.2",".",".",".",".",".",".",".","."
"","362
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Young Child","Course Total","286","3.036","24.8","19.9","25.2","10.8","8.0","4.2","3.1","3.8",".",".",".",".",".",".",".","."
"","363
001","24","2.896","20.8","8.3","16.7","37.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"","363
002","243","2.989","12.8","21.8","28.0","27.2","6.2","1.2","0.8","2.1",".",".",".",".",".",".",".","."
"","363
003","14","3.036","7.1","28.6","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","281","2.984","13.2","21.0","27.0","28.5","6.8","1.1","0.7","1.8",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425
001","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Play-Development&Role","464
001","31","3.613","35.5","51.6","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","27","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","34","3.848","85.3",".","8.8",".","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"Hist of Motherhood in Amer","473
001","22","3.182","4.5","68.2","9.1","13.6",".",".","4.5",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474
001","28","3.768","71.4","14.3","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","26","3.260","30.8","26.9","19.2","15.4",".",".","3.8","3.8",".",".",".",".",".",".",".","."
"","501
002","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","41","3.463","41.5","31.7","12.2","9.8",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","30","3.821","63.3","26.7","3.3",".",".",".",".","3.3",".",".",".",".","3.3",".",".","."
"Couple Relationships","517
001","32","3.548","46.9","28.1","12.5","3.1","6.3",".",".","3.1",".",".",".",".",".",".",".","."
"African American Families","521
001","29","3.589","34.5","44.8","17.2",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Family Perspctv-Policymakng","535
001","26","3.250","19.2","26.9","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","20","3.852","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
011","8","3.348","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Internship","Course Total","28","3.714","78.6","7.1","10.7",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","30","3.283","13.3","50.0","16.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","31","3.419","41.9","12.9","35.5","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","3.952","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
002","11","3.611","36.4","27.3","18.2",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"","766
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","24","3.806","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Capstone Smr in Prevention Sci","881
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 142 of 401",""
