"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"916","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","041","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","044","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","57","3.746","57.9","33.3","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Ambulat Med Clerk-Stdt Hlth","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health in Primary Care","Course Total","","3","***","","","","","","","","","","","","","","","",""
"931
Geriatric Med-Milwaukee","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933
Geriat Subinternshp-CSC/VAH","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"944","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Cardiol Clerkshp-VAH","Course Total","","3","***","","","","","","","","","","","","","","","",""
"953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","Course Total","","21","3.721","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"954","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerk-Marshfld","Course Total","","2","***","","","","","","","","","","","","","","","",""
"960","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
