"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Institutional Economics","707","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","34","3.376","29.4","23.5","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","713","001","","24","3.114","16.7","16.7","37.5","12.5","8.3",".",".","4.2",".",".",".",".",".","4.2",".","."
"","713","002","","9","3.000","22.2",".","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","33","3.081","18.2","12.1","39.4","15.2","9.1",".",".","3.0",".",".",".",".",".","3.0",".","."
"","714","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714","002","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","21","3.595","42.9","33.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","","9","3.500","11.1","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Econ Dev-Thy Stat & Policy","878","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Advances-Economics","899","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","","22","3.900","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
