"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","20","3.575","25.0","65.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","17","3.500","17.6","70.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","19","3.579","26.3","63.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","72","3.569","25.0","65.3","8.3","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Pediatric Subinternship-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"950
Ped Endocr/DiabetesClrk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956
Hematol-Oncology Clerk-CSC","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"967
Ped Pulmon/Allergy Clrk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","","91","3.591","34.1","56.0","8.8","1.1",".",".",".",".",".",".",".",".",".",".",".","."
