"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","356","2.997","19.4","25.0","19.4","18.8","11.0","5.1","0.6","0.3",".",".",".",".",".","0.6",".","."
"","120
002","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","370","3.012","20.0","25.4","19.5","18.4","10.5","4.9","0.5","0.3",".",".",".",".",".","0.5",".","."
"Contemporary Amer Society","125
001","366","3.022","16.4","21.3","30.3","18.6","9.0","2.5","0.5","1.4",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
002","112","2.469","9.8","10.7","25.0","17.0","20.5","11.6","5.4",".",".",".",".",".",".",".",".","."
"","134
001","372","3.249","13.2","42.7","28.2","10.8","3.2","0.3","0.3","1.3",".",".",".",".",".",".",".","."
"","134
002","93","3.560","51.6","24.7","9.7","7.5","3.2","1.1",".","2.2",".",".",".",".",".",".",".","."
"","134
003","107","3.779","70.1","18.7","5.6","1.9",".",".","0.9","1.9",".",".",".",".","0.9",".",".","."
"Am Racial&Ethnic Minorities","Course Total","572","3.371","30.1","35.3","21.0","8.6","2.6","0.3","0.3","1.6",".",".",".",".","0.2",".",".","."
"The Sociology of Gender","138
001","80","3.154","15.0","25.0","37.5","15.0","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","151","3.210","33.8","19.2","19.2","10.6","9.3","3.3","0.7","4.0",".",".",".",".",".",".",".","."
"Directed Study","198
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","31","3.701","67.7","19.4","6.5",".",".",".","3.2",".",".",".",".",".","3.2",".",".","."
"","199
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","34","3.714","67.6","20.6","5.9",".",".",".","2.9",".",".",".",".",".","2.9",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","93","3.415","36.6","33.3","12.9","9.7","5.4","1.1",".",".",".",".",".",".",".","1.1",".","."
"Survey of Sociology","210
001","90","3.128","32.2","23.3","20.0","11.1","5.6","3.3","4.4",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","85","3.260","47.1","16.5","15.3","5.9","7.1","5.9","2.4",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","27","2.560","3.7","7.4","25.9","22.2","29.6","3.7",".","7.4",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","83","3.272","25.3","33.7","26.5","8.4","2.4","2.4","1.2",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","14","3.385","14.3","42.9","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Technology and Society","245
001","30","3.683","46.7","46.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","14","2.643","14.3","21.4","14.3","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","20","3.158","20.0","40.0","15.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","357
001","41","3.280","43.9","7.3","31.7","4.9","9.8",".","2.4",".",".",".",".",".",".",".",".","."
"","357
002","24","3.221","16.7","29.2","37.5","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","28","3.482","39.3","46.4","7.1",".","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"","357
004","33","3.727","51.5","42.4","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","32","3.641","50.0","31.3","15.6","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","357
006","27","3.778","59.3","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","185","3.515","44.3","30.8","17.3","3.8","2.7",".","1.1",".",".",".",".",".",".",".",".","."
"","360
001","27","3.426","37.0","37.0","18.5","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"","360
002","27","3.370","40.7","25.9","14.8","3.7","14.8",".",".",".",".",".",".",".",".",".",".","."
"","360
003","20","3.475","40.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","74","3.419","39.2","31.1","17.6","4.1","6.8",".","1.4",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","23","3.500","34.8","34.8","21.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","99","3.237","31.3","28.3","20.2","5.1","11.1","4.0",".",".",".",".",".",".",".",".",".","."
"","475
001","49","3.292","20.4","34.7","24.5","12.2","4.1",".",".",".",".",".",".",".","4.1",".",".","."
"","475
003","33","3.391","21.2","33.3","42.4",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 300 of 401",""
