"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"523
Clinic Exercise Test&Train","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","142","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","191","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","192","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","207","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.860","81.0",".","9.5",".",".",".",".",".",".",".",".",".",".",".","9.5","."
"812","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","26","3.327","23.1","23.1","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","26","3.333","19.2","26.9","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","22","3.325","13.6","31.8","45.5",".",".",".",".",".","4.5",".",".",".",".",".",".","4.5"
"Prin Int Med-Basic Clrkship","Course Total","","79","3.329","19.0","25.3","49.4","1.3",".",".",".",".","2.5",".",".",".",".",".",".","2.5"
"901
MSTP Intro-Clinical Medicine","036","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"914","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"914","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"914","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutics I-Chronic Disease","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","005","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutics II-Acute Diseases","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 348 of 401",""
