"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","174","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","191","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","192","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","3.914","85.7",".",".","7.1",".",".",".",".",".",".",".",".",".",".","7.1","."
"812","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","24","3.279","12.5","25.0","54.2",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"812","082","","28","3.339","21.4","28.6","46.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","25","3.360","20.0","36.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","Course Total","","78","3.333","19.2","29.5","46.2","2.6",".",".",".",".",".",".",".",".",".",".",".","2.6"
"901
MSTP Intro-Clinical Medicine","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"902
MSTP Intro-Clinical Research","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"914","007","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeutics I-Chronic Disease","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"917
Rsch-Tobacco Preventn&Cessatn","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"920","041","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","044","","18","3.583","38.9","50.0","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"920","045","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
