"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","167","3.365","40.7","17.4","26.9","6.6","7.2","1.2",".",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","142","3.049","15.5","21.1","35.9","19.7","4.9","2.1","0.7",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","126","2.925","20.6","10.3","31.7","15.9","17.5","4.0",".",".",".",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492
Selected Topics-Pharm Sci","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521
Pharmacology I","001","","145","2.728","11.0","10.3","29.0","20.7","24.8","4.1",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","130","2.681","9.2","7.7","34.6","13.1","33.1","1.5","0.8",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","127","3.067","10.2","26.8","33.9","24.4","4.7",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","127","3.772","69.3","16.5","13.4","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","154","2.955","16.9","15.6","37.7","11.7","13.0","5.2",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","17","3.206","23.5","17.6","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","18","3.639","55.6","16.7","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","128","3.152","15.6","22.7","43.0","9.4","9.4",".",".",".",".",".",".",".",".",".",".","."
"645
Phmceut","001","","132","3.258","20.5","25.0","40.2","13.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"691
Senior Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","13","3.894","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Special Topics in Pharm Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","6","3.219","16.7","50.0","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"931
Conference-Research Workers","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 385 of 399",""
