"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","18","3.556","16.7","77.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","17","3.531","11.8","76.5","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".","."
"812","063","","17","3.559","17.6","76.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","20","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","72","3.549","16.7","75.0","6.9",".",".",".",".",".","1.4",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Rural Pediatrics-Whitehall","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"946
Child Psych Clerk-CSC","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"953","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"956","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol-Oncology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"962","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neonatal Clerk-Marshfield","Course Total","","2","***","","","","","","","","","","","","","","","",""
