"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","416","3.125","27.6","16.8","26.7","13.9","12.7","1.9",".","0.2",".",".",".",".",".",".",".","."
"","120
002","25","3.400","24.0","40.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","441","3.141","27.4","18.1","26.8","13.6","12.0","1.8",".","0.2",".",".",".",".",".",".",".","."
"Social Problems","130
001","82","3.232","23.2","34.1","22.0","9.8","9.8","1.2",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","94","2.688","17.0","6.4","16.0","21.3","36.2","2.1",".",".",".",".",".",".","1.1",".",".","."
"","134
002","106","3.939","92.5","5.7",".","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"","134
003","135","3.962","89.6","5.9","0.7",".",".",".",".","3.0",".",".",".",".",".","0.7",".","."
"","134
004","104","2.820","15.4","16.3","26.0","19.2","14.4","5.8","1.9",".",".",".",".",".",".","1.0",".","."
"","134
005","107","3.689","71.0","5.6","10.3","5.6","2.8","0.9",".","2.8","0.9",".",".",".",".",".",".","."
"","134
006","111","3.500","34.2","45.9","10.8","3.6","1.8","0.9","0.9","1.8",".",".",".",".",".",".",".","."
"","134
007","115","3.540","46.1","29.6","15.7","1.7","4.3",".","0.9","1.7",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","678","3.591","59.3","18.0","10.2","4.9","3.8","1.2","0.6","1.6","0.1",".",".",".",".","0.3",".","."
"The Sociology of Gender","138
002","85","3.547","60.0","20.0","5.9","7.1","3.5","2.4","1.2",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","38","2.987","13.2","18.4","42.1","15.8","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","220","2.893","12.3","20.9","32.3","18.6","10.0","3.6","2.3",".",".",".",".",".",".",".",".","."
"","198
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
094","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","16","",".",".",".",".",".",".",".",".",".","93.8",".",".",".",".","6.3","."
"","199
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","26","3.979","88.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"","199
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","30","3.982","90.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Survey of Sociology","210
001","116","3.427","33.6","38.8","14.7","8.6","2.6","1.7",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","94","3.465","59.6","14.9","11.7","1.1","6.4","5.3","1.1",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","90","3.333","18.9","46.7","25.6","4.4","3.3",".","1.1",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","25","3.521","36.0","32.0","24.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","16","3.321","18.8","25.0","37.5","6.3",".",".",".","6.3",".",".",".",".",".",".","6.3","."
"Technology and Society","245
001","10","2.800","10.0",".","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Organizations and Society","250
001","31","3.355","35.5","22.6","25.8","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","35","3.453","25.7","31.4","34.3",".",".",".",".",".",".",".",".",".","2.9","5.7",".","."
"Africa: Introductory Survey","277
001","23","2.409","4.3","13.0","17.4","30.4","17.4","4.3","8.7","4.3",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327
001","15","2.867","6.7","26.7","33.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","357
001","26","3.308","15.4","42.3","34.6","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","357
002","33","3.545","33.3","51.5","6.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
004","29","3.586","41.4","34.5","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","32","3.703","50.0","40.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
006","29","3.813","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
007","34","3.500","47.1","23.5","14.7","2.9","8.8",".",".",".",".",".",".",".",".","2.9",".","."
"Meth-Sociological Inquiry","Course Total","204","3.609","45.6","36.3","13.2","2.5","2.0",".",".",".",".",".",".",".",".","0.5",".","."
"","360
001","22","3.295","22.7","40.9","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 296 of 399",""
