"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","166","2.774","16.9","12.0","27.7","6.6","32.5","3.0","1.2",".",".",".",".",".",".",".",".","."
"","100","002","174","2.665","14.9","8.0","23.6","12.6","36.8","1.1","2.3","0.6",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","340","2.718","15.9","10.0","25.6","9.7","34.7","2.1","1.8","0.3",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","124","2.675","9.7","14.5","19.4","19.4","33.1","3.2",".","0.8",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","569","3.143","22.0","19.5","36.0","8.6","9.1","1.4","0.5","2.6",".",".",".",".",".",".","0.2","."
"Principles - Biological Anthro","105","001","169","3.104","19.5","26.6","27.2","13.0","11.2","2.4",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","108","2.963","22.2","24.1","24.1","11.1","9.3","4.6","4.6",".",".",".",".",".",".",".",".","."
"","120","001","19","3.526","21.1","68.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","120","002","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","","Course Total","32","3.625","37.5","53.1","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","23","3.056","21.7","4.3","26.1","13.0","13.0",".",".","21.7",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","60","3.695","58.3","30.0","8.3",".",".",".","1.7","1.7",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310","001","36","3.603","38.9","36.1","19.4",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","310","002","30","2.778","16.7","10.0","13.3","16.7","33.3",".",".","10.0",".",".",".",".",".",".",".","."
"","310","003","16","3.594","56.3","6.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","82","3.312","34.1","20.7","20.7","6.1","12.2",".",".","6.1",".",".",".",".",".",".",".","."
"Indians of North America","314","001","66","3.569","45.5","36.4","7.6","6.1","1.5","1.5",".","1.5",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","89","2.807","23.6","12.4","22.5","12.4","18.0","5.6","4.5","1.1",".",".",".",".",".",".",".","."
"Intro-Prehistory&Archaeol Prin","338","001","12","3.227","16.7","33.3","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","9","3.707","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peoples and Cultures of Russia","346","001","42","3.597","54.8","21.4","11.9","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Political Anthropology","350","001","31","3.656","64.5","16.1","12.9",".",".","3.2",".","3.2",".",".",".",".",".",".",".","."
"Archaeol of Eastern N Amer","355","001","40","3.000","32.5","10.0","17.5","15.0","17.5","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Anthropology","365","001","33","3.581","45.5","30.3","9.1","6.1","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458","001","50","3.230","28.0","28.0","26.0","6.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Ethnohist-Am Indian: Relig&Pol","471","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","18","3.853","77.8","5.6","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","490","002","13","3.500","61.5","23.1","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","490","003","12","3.227","33.3","8.3","25.0","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","43","3.573","60.5","11.6","14.0","4.7","2.3",".","2.3","4.7",".",".",".",".",".",".",".","."
"The Evolution of Human Diet","641","001","25","3.720","68.0","12.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Public Monuments and Symbols","677","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","11","3.405","45.5","27.3","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","690","003","9","3.269","66.7",".","11.1",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"Problems in Anthropology","","Course Total","20","3.349","55.0","15.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".","5.0",".",".","."
"Senior Thesis","691","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 157 of 399",""
