"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Origins-Scientific Thought","201","001","","78","3.539","35.9","47.4","9.0","1.3","2.6",".","1.3","2.6",".",".",".",".",".",".",".","."
"Sci in 20th C:Hist Overview","203","001","","76","3.284","22.4","31.6","30.3","10.5","1.3",".","1.3","1.3",".",".",".",".",".","1.3",".","."
"Ag&Soc Change-Western Hist","230","001","","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Sci, Med, & Race: A History","275","001","","8","2.938","25.0","37.5",".","25.0",".",".","12.5",".",".",".",".",".",".",".",".","."
"Hon Sm:Studies-Sci,Tech,Med","280","001","","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ancient & Medieval Science","322","001","","21","3.100","19.0","14.3","23.8","9.5",".",".","4.8","14.3",".",".",".",".",".","14.3",".","."
"Sci Revol:Copernicus-Newton","323","001","","16","2.733","12.5","6.3","43.8","6.3","18.8",".","6.3",".",".",".",".",".",".","6.3",".","."
"Science, Medicine&Religion","331","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Technol & Critics Since WW II","339","001","","21","3.643","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","14","2.964","7.1","35.7","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509","001","","18","3.444","55.6",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Monsters & Science: A History","517","001","","49","3.266","16.3","51.0","14.3","4.1","8.2",".","2.0","4.1",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","6","2.667","33.3",".","16.7",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Studies-Ancient&Medievl Sci","622","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Technol&Its Critics Since WWII","639","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historiography & Methods","720","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Smr:Modern Physical Science","905","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Grad Studies-Medical Hist","919","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","16","",".",".",".",".",".",".",".","87.5",".",".",".","6.3",".",".","6.3","."
"","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","5","***","","","","","","","","","","","","","","","",""
