"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","115","3.162","21.7","29.6","26.1","11.3","7.8","0.9","1.7","0.9",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","152","3.451","39.5","34.9","15.1","5.3","2.6","1.3","1.3",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","392","3.562","48.5","28.3","13.5","5.9","1.8","0.8","0.3","1.0",".",".",".",".",".",".",".","."
"Intro to Black Women's Studies","221","002","46","2.700","4.3","17.4","41.3","10.9","15.2","4.3","4.3",".",".",".",".",".",".",".","2.2","."
"Race & Ethnicity-U.S. Women","223","001","35","3.606","51.4","31.4","5.7","2.9",".",".","2.9","5.7",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","11","3.273","18.2","27.3","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Literature","250","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics - Women & Humanities","310","001","39","3.692","64.1","10.3","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Society","320","001","36","3.681","52.8","33.3","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","26","3.404","26.9","42.3","26.9",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","32","3.419","46.9","15.6","21.9","3.1","6.3","3.1",".",".",".",".",".",".",".","3.1",".","."
"Topics in LGBTQ Sexuality","340","001","20","3.300","40.0","30.0","20.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","28","3.292","17.9","35.7","32.1","7.1","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","37","3.324","16.2","48.6","32.4",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","38","3.355","36.8","31.6","15.8","2.6","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","6","2.917","16.7","33.3","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","40","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","522","001","30","2.948","20.0","10.0","33.3","6.7","26.7",".",".","3.3",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","38","3.171","28.9","15.8","39.5","2.6","10.5",".","2.6",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","38","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","30","3.600","40.0","43.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis I","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","017","6","3.846","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","17","3.650","82.4","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"History of Sexuality","938","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","999","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
