"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"651
Quality Assurance Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Quality Assurance Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Method Validation Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Method Validation Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"703
General Pathology","004","","152","3.628","63.2","7.9","25.0","2.0","1.3",".","0.7",".",".",".",".",".",".",".",".","."
"751
Cell & Molec Biol of Aging","001","","9","3.625","22.2","66.7",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"803
Pathogensis-Major Hum Diseases","001","","16","3.900","75.0","18.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"901
Journal Club","001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"911
Intro-Forensic Pathol-MSC","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Med: Clin Hematl El-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"951
Cell Matrix, Struct, Functn","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
