"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"954","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Periph Vasculr Clrk-CSC/VAH","Course Total","","5","***","","","","","","","","","","","","","","","",""
"956","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastc&RecnstrSurgClerk-CSC","Course Total","","8","3.950","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastic Surgery-Marshfield","Course Total","","2","***","","","","","","","","","","","","","","","",""
"960
Transplantation Clerk-CSC","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Burn Surgery Clrkshp (CSC)","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962
Critical Care Surgery-CSC","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963
Cardiac Surg Clerkship-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964
Thoracic Surgery Clerk-CSC","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Clerkship-CSC","Course Total","","7","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
