"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"682","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"691","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"698","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","",".",".",".",".",".",".",".",".",".","71.4",".",".",".",".","28.6","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","42","3.807","85.7","7.1","2.4",".",".",".","2.4",".",".",".",".",".",".",".","2.4","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","53","3.824","86.8","5.7","3.8",".",".",".","1.9",".",".",".",".",".",".",".","1.9","."
"700
Intro Prosmr-Grad Students","001","","33","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","8","3.857","75.0",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"731
InterSocPsych-Group&Collect","001","","18","3.735","50.0","38.9","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"752
Measurement&Questionnaires","001","","14","3.682","28.6","50.0",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"773
Intermediate Classical Theory","001","","24","3.891","79.2","12.5","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","013","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","12","3.818","58.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"918
Smr-Compr Soc/Contemp Capitlsm","001","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"923
Smr-Social Stratification","001","","17","3.633","41.2","41.2",".",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"925
Soc-Econ Chng-Underdev Area","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"948
Seminar: Environmental Sociol","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Smr-Qualitative Methodology","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"960
Curr Meth Iss-Social Psych","001","","11","3.611","45.5","9.1","27.3",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"961
Smr-Adv Social Psychology","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"989
Smr: Law & Socio-legal Studies","001","","6","3.727","33.3","33.3",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
