"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","299
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","362
001","29","2.982","31.0","24.1","13.8","6.9","3.4","13.8","3.4","3.4",".",".",".",".",".",".",".","."
"","362
002","273","3.086","19.4","23.1","32.6","9.2","9.9","1.8","1.5","1.8","0.4",".",".",".",".",".",".","0.4"
"Development of Young Child","Course Total","302","3.077","20.5","23.2","30.8","8.9","9.3","3.0","1.7","2.0","0.3",".",".",".",".",".",".","0.3"
"","363
001","35","3.014","17.1","31.4","14.3","28.6",".","8.6",".",".",".",".",".",".",".",".",".","."
"","363
002","272","3.153","24.3","19.5","25.4","22.8","3.7","0.4","1.1","2.6",".",".",".",".",".","0.4",".","."
"Develp: Adolescence-Old Age","Course Total","307","3.137","23.5","20.8","24.1","23.5","3.3","1.3","1.0","2.3",".",".",".",".",".","0.3",".","."
"Soc&Emotnl Dev-Early Educ","461
001","21","3.214","61.9",".","14.3","4.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","31","3.452","22.6","48.4","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","42","3.643","64.3","16.7","11.9","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474
001","27","3.556","51.9","29.6","11.1",".","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","501
001","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","26","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
501","23","3.900","73.9","8.7","4.3",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","59","3.759","59.3","27.1","6.8","1.7",".",".",".","5.1",".",".",".",".",".",".",".","."
"","516
001","29","3.586","62.1","10.3","17.2","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"","516
002","25","3.380","64.0","12.0","4.0","8.0","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","54","3.491","63.0","11.1","11.1","5.6","5.6",".","3.7",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","30","3.241","23.3","30.0","26.7","10.0","3.3","3.3",".","3.3",".",".",".",".",".",".",".","."
"African American Families","521
001","22","3.523","50.0","36.4","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","29","3.241","17.2","27.6","41.4","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","22","3.799","72.7","22.7",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","601
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","30","3.852","80.0","16.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","28","3.304","17.9","42.9","25.0","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","17","3.412","29.4","41.2","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","13","3.758","69.2",".","15.4",".",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
003","14","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","766
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","27","3.960","85.2","7.4",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865
001","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Prevention Science","880
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 138 of 399",""
