"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","181","3.677","66.9","21.0","6.1","2.8","0.6","0.6","2.2",".",".",".",".",".",".",".",".","."
"","400
002","","10","3.646","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","400
006","","9","3.895","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","","13","3.877","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","","12","3.560","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","","12","3.880","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","","8","3.941","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","86","3.846","74.4","18.6","5.8",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"","001
440","","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","003
440","","24","3.729","50.0","45.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","21","3.595","57.1","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","","88","3.759","62.5","27.3","6.8","2.3",".",".",".",".",".",".",".",".","1.1",".",".","."
"Prac II: Individls, Fam, Grps","441
001","","90","3.961","92.2","7.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Violence","523
001","","59","2.949","1.7","23.7","50.8","13.6","8.5","1.7",".",".",".",".",".",".",".",".",".","."
"","579
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","38","3.763","63.2","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","627
001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","91","3.681","65.9","19.8","9.9",".","2.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","644
001","","36","3.686","63.9","16.7","13.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","18","3.500","44.4","22.2","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","","29","3.737","51.7","41.4","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","674
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","677
001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","679
001","","23","3.478","60.9","17.4","13.0",".",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"","699
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","","43","3.709","58.1","25.6","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","21","3.595","38.1","47.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 293 of 399",""
