"SOCIAL & ADMINISTRATIVE PHA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc & Mgmt Aspects-Pharm","411
001","128","3.746","61.7","27.3","10.2",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","12","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Prof Decision-Making/Phm Pract","618
001","131","3.646","37.4","54.2","8.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Finance&Reimbursement","630
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
112","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Organization-Pharmacy","714
001","8","3.800","37.5","25.0",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"Conference-Research Workers","911
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","320","3.701","51.3","33.8","9.7",".","0.9",".",".","3.4",".",".",".",".","0.9",".",".","."
