"","988
003","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","988
009","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","988
043","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Elect Rheumtol-CSC/VAH","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","328","3.555","40.9","30.5","17.1","1.2","0.3","",".","",".","8.8","",".",".","",".","",".","",".",".","0.3","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","3.769","80.0",".",".","20.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","3.804","87.5",".",".","12.5",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","14","3.803","85.7",".",".","14.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"Prof Yr 3","","91","3.336","18.7","27.5","41.8","2.2",".","",".","",".","7.7","",".",".","",".","",".","",".",".",".","2.2"
"Prof Yr 4","","222","3.738","47.3","33.8","8.1",".","0.5","",".","",".","9.9","",".",".","",".","",".","",".",".",".","0.5"
"Professionals","","313","3.547","39.0","31.9","17.9","0.6","0.3","",".","",".","9.3","",".",".","",".","",".","",".",".",".","1.0"
"","Dept. Total","328","3.555","40.9","30.5","17.1","1.2","0.3","",".","",".","8.8","",".",".","",".","",".","",".",".","0.3","0.9"
