"TERM : 1062","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2005-2006","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN
Dept. Total
436","114","3.623","45.6","43.0","6.1","0.9","1.8","",".","",".","0.9","0.9",".","",".","",".","0.9",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Senior","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Undergraduates","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Graduate","13","4.000","84.6",".",".",".",".","",".","",".","7.7",".",".","",".","",".","7.7",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","74","3.523","24.3","62.2","8.1","1.4","2.7","",".","",".",".","1.4",".","",".","",".",".",".",".","."
"Prof Yr 4","22","3.864","81.8","13.6","4.5",".",".","",".","",".",".",".",".","",".","",".",".",".",".","."
"Professionals","97","3.583","38.1","50.5","7.2","1.0","2.1","",".","",".",".","1.0",".","",".","",".",".",".",".","."
"Dept. Total","114","3.623","45.6","43.0","6.1","0.9","1.8","",".","",".","0.9","0.9",".","",".","",".","0.9",".",".","."
