"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","18","3.281","5.6","44.4","33.3","5.6",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"","199","007","28","3.959","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","17","3.455","47.1","11.8","23.5","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Directed Study","","Course Total","45","3.782","75.6","8.9","8.9","2.2","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Intro to Black Women's Studies","221","002","38","2.736","5.3","7.9","39.5","21.1","18.4","2.6",".",".",".",".",".",".",".",".","5.3","."
"Intro-AfricanAmer Dramatic Lit","225","001","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","173","3.375","35.8","31.8","12.7","6.4","9.2","0.6","0.6","1.2",".",".",".",".",".",".","1.7","."
"Sci, Med, & Race: A History","275","001","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","37","2.955","10.8","16.2","32.4","13.5","16.2",".",".","5.4",".",".",".",".",".","5.4",".","."
"Blacks, Film, and Society","303","001","52","3.448","34.6","36.5","13.5","3.8",".","1.9","1.9","7.7",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308","001","16","3.000","18.8","18.8","43.8","6.3",".","12.5",".",".",".",".",".",".",".",".",".","."
"African-Am Mus-Hist Perspectv","316","001","15","3.467","13.3","66.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","58","3.446","43.1","24.1","17.2","3.4","6.9","1.7",".","3.4",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366","001","38","3.092","21.1","36.8","18.4","2.6","13.2","7.9",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","603","001","25","3.542","44.0","24.0","24.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","17","3.265","17.6","47.1","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","14","2.964","28.6","14.3","28.6","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","17","3.206","47.1",".","29.4","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","001","31","3.517","41.9","29.0","12.9","12.9",".",".",".",".",".",".",".",".",".","3.2",".","."
"Visual Cultr, Gender&Race Thry","679","001","14","3.393","42.9","35.7","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","12","3.097","33.3","25.0","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","17","3.221","29.4","35.3","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
