"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501
001","","77","3.604","48.1","28.6","19.5","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Ophthalmology","542
001","","81","3.531","40.7","30.9","23.5","3.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630
001","","83","3.030","14.5","12.0","49.4","13.3","10.8",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","82","",".",".",".",".",".",".",".","97.6",".",".",".","2.4",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","83","",".",".",".",".",".",".",".","96.4",".",".",".","3.6",".",".",".","."
"","642
001","","28","4.000","10.7",".",".",".",".",".",".","89.3",".",".",".",".",".",".",".","."
"","642
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","29","4.000","10.3",".",".",".",".",".",".","89.7",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","","12","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"","645
001","","31","4.000","22.6",".",".",".",".",".",".","77.4",".",".",".",".",".",".",".","."
"","645
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","32","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","21","4.000","47.6",".",".",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","32","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","675
001","","14","4.000","21.4",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"","675
008","","29","4.000","3.4",".",".",".",".",".",".","96.6",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","43","4.000","9.3",".",".",".",".",".",".","90.7",".",".",".",".",".",".",".","."
"","699
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","","24","4.000","79.2",".",".",".",".",".",".","20.8",".",".",".",".",".",".",".","."
"Equine Lameness","747
001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","775
001","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
