"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"440
Therpeutcs-PAs&Adv Prac Nur,I","001","","30","3.117","16.7","33.3","23.3","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","005","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","20","3.510","60.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"550","001","","44","3.352","31.8","20.5","34.1","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"550","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","","47","3.383","34.0","21.3","31.9","12.8",".",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","129","3.205","17.8","33.3","28.7","15.5","3.1","1.6",".",".",".",".",".",".",".",".",".","."
"600
Interdis Rur Prim Hlth Care","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","135","3.015","18.5","11.1","34.1","30.4","5.2",".","0.7",".",".",".",".",".",".",".",".","."
"664","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","001","","48","3.888","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","044","","9","3.971","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","31","3.959","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","003","","24","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"740","004","","26","3.827","76.9","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","50","3.730","68.0","16.0","10.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"741","003","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","004","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","46","3.945","89.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760","003","","68","3.816","72.1","20.6","5.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","62","3.806","74.2","14.5","9.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"760","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 387 of 399",""
