"","490
026","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","490
028","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics in Nursing","Course Total","","18","3.806","66.7","27.8","5.6","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Capstone Practicum for RN's","519
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CNP
691","Dept. Total","","52","3.668","57.7","26.9","13.5","",".","",".","1.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","11","3.456","54.5","36.4",".","",".","",".","9.1","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","13","3.700","61.5","15.4","23.1","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","28","3.731","57.1","28.6","14.3","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","52","3.668","57.7","26.9","13.5","",".","",".","1.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","52","3.668","57.7","26.9","13.5","",".","",".","1.9","",".","",".","",".",".","",".","",".","",".",".",".","."
