"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"719","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"733
Birth&The Postbirth Period","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"739
Nursing Assessment of Dev","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"747","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"755
Adv Prac Nur:Ment Hlth Promotn","001","","16","3.933","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"798","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"798","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"811
Physiological Basis-Nursing","001","","29","3.621","62.1","10.3","17.2","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991
Smr-Nursing Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
