"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","26","2.865","30.8","3.8","30.8",".","26.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","20","3.475","40.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","8","3.583","37.5","12.5","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","094","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","3.975","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Master's Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"718
International Health Systems","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"780
Public Hlth: Principles&Pract","001","","32","3.717","62.5","28.1",".",".",".",".","3.1","3.1",".",".",".",".","3.1",".",".","."
"794
Biol Basis-Population Health","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","001","","49","3.449","32.7","30.6","32.7","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","62","3.672","51.6","29.0","17.7",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"802
Adv Epidemiol: Etiol&Preventn","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Quant Meth-Populatn Health II","001","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"904","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913
Clin Chem-Newborn-StateLab","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","011","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 367 of 399",""
