"","967
013","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","967
042","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","967
045","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Urology Clerkship-CSC","Course Total","7","3.944","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"SURGERY
936","Dept. Total","207","3.541","49.3","26.1","17.9","0.5","",".","",".","",".","5.3","",".",".","",".","",".","0.5",".",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","6","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","13","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","83","3.364","21.7","33.7","43.4",".","",".","",".","",".",".","",".",".","",".","",".","1.2",".",".","."
"Prof Yr 4","","111","3.850","64.0","23.4","0.9","0.9","",".","",".","",".","9.9","",".",".","",".","",".",".",".",".","0.9"
"Professionals","","194","3.528","45.9","27.8","19.1","0.5","",".","",".","",".","5.7","",".",".","",".","",".","0.5",".",".","0.5"
"","Dept. Total","207","3.541","49.3","26.1","17.9","0.5","",".","",".","",".","5.3","",".",".","",".","",".","0.5",".",".","0.5"
