"COLLABORATIVE NURSING PRG Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theoretical Foundations","341","003","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","444","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","020","","13","3.775","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CNP
691","","Dept. Total","","52","3.668","57.7","26.9","13.5",".",".","1.9",".",".",".",".",".",".",".",".",".","."
