"MED","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Thry & Prac-Emergency Care","348
001","32","3.710","50.0","37.5","9.4",".",".",".",".",".",".",".",".",".",".",".",".","3.1"
"Clinical Med-Phy Asst I","400
001","35","3.324","20.0","37.1","25.7","14.3",".",".",".",".",".",".",".",".",".",".",".","2.9"
"Adv Patnt Eval/Prim Care I","420
001","35","3.206","14.3","42.9","20.0","8.6","11.4",".",".",".",".",".",".",".",".",".",".","2.9"
"Obs & Gyn-Physician Asstnts","430
001","27","3.352","14.8","55.6","14.8","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","629
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","649
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","189","3.737","46.6","31.2","12.2","6.3","2.1",".",".",".",".",".",".",".",".",".",".","1.6"
