"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","198","3.929","91.4","5.1","3.0",".",".","0.5",".",".",".",".",".",".",".",".",".","."
"","105
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","216","3.935","92.1","4.6","2.8",".",".","0.5",".",".",".",".",".",".",".",".",".","."
"","212
001","127","3.835","70.9","26.8","1.6",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","212
002","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","150","3.830","69.3","28.7","1.3",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","219
001","127","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","219
002","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","150","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Independent Reading","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","128","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","151","3.868","74.2","25.2","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","60","3.533","23.3","60.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","112","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","124","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","69","3.891","81.2","15.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","80","3.906","83.8","13.8","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","129","3.888","79.8","17.8","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","140","3.893","80.7","17.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","433
001","130","3.792","64.6","30.0","4.6","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","433
002","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","142","3.796","64.8","30.3","4.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","61","3.910","83.6","14.8","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","5","***","","","","","","","","","","","","","","","",""
"","590
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","003
590","9","3.714","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","22.2","."
"","590
004","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
020","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","66","3.714","30.3","16.7","4.5","1.5",".",".",".","43.9",".",".",".",".",".",".","3.0","."
"Interdis Rur Prim Hlth Care","600
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","31","3.883","80.6","9.7","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","601
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","35","3.844","74.3","17.1","5.7",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","613
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","6","3.941","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 380 of 399",""
